Country,Year,Health_Exp_PCT_GDP,Is_HIC,HIC_Mean_Exp
Mexico,2010,5.5,False,8.16
Mexico,2015,5.5,False,8.41
Mexico,2020,6.1,False,9.4
Mexico,2021,5.9,False,9.32
Mexico,2022,5.7,False,8.71
Micronesia (Fed. States of),2005,18.0,False,7.34
Micronesia (Fed. States of),2010,21.5,False,8.16
Micronesia (Fed. States of),2015,12.7,False,8.41
Micronesia (Fed. States of),2020,12.0,False,9.4
Micronesia (Fed. States of),2021,11.4,False,9.32
Micronesia (Fed. States of),2022,10.3,False,8.71
Monaco,2005,4.5,False,7.34
Monaco,2010,5.0,False,8.16
Monaco,2015,4.3,False,8.41
Monaco,2020,4.3,False,9.4
Monaco,2021,3.7,False,9.32
Monaco,2022,3.4,False,8.71
Mongolia,2005,3.9,False,7.34
Mongolia,2010,3.7,False,8.16
Mongolia,2015,4.2,False,8.41
Mongolia,2020,4.7,False,9.4
Mongolia,2021,7.2,False,9.32
Mongolia,2022,8.9,False,8.71
Montenegro,2015,9.0,False,8.41
Montenegro,2020,11.4,False,9.4
Montenegro,2021,10.6,False,9.32
Montenegro,2022,10.9,False,8.71
Morocco,2005,4.4,False,7.34
Morocco,2010,5.4,False,8.16
Morocco,2015,5.1,False,8.41
Morocco,2020,5.6,False,9.4
Morocco,2021,5.5,False,9.32
Morocco,2022,5.7,False,8.71
Mozambique,2005,4.2,False,7.34
Mozambique,2010,5.3,False,8.16
Mozambique,2015,6.6,False,8.41
Mozambique,2020,7.5,False,9.4
Mozambique,2021,8.9,False,9.32
Mozambique,2022,8.8,False,8.71
Myanmar,2005,2.5,False,7.34
Myanmar,2010,2.1,False,8.16
Myanmar,2015,5.5,False,8.41
Myanmar,2020,4.4,False,9.4
Myanmar,2021,5.8,False,9.32
Myanmar,2022,5.2,False,8.71
Namibia,2005,10.1,False,7.34
Namibia,2010,9.7,False,8.16
Namibia,2015,10.0,False,8.41
Namibia,2020,8.9,False,9.4
Namibia,2021,9.3,False,9.32
Namibia,2022,9.3,False,8.71
Nauru,2005,10.8,False,7.34
Nauru,2010,12.7,False,8.16
Nauru,2015,14.0,False,8.41
Nauru,2020,11.6,False,9.4
Nauru,2021,12.0,False,9.32
Nauru,2022,18.2,False,8.71
Nepal,2005,4.0,False,7.34
Nepal,2010,4.4,False,8.16
Nepal,2015,5.5,False,8.41
Nepal,2020,5.2,False,9.4
Nepal,2021,5.3,False,9.32
Nepal,2022,6.7,False,8.71
Netherlands (Kingdom of the),2005,9.1,False,7.34
Netherlands (Kingdom of the),2010,10.2,False,8.16
Netherlands (Kingdom of the),2015,10.3,False,8.41
Netherlands (Kingdom of the),2020,11.2,False,9.4
Netherlands (Kingdom of the),2021,11.1,False,9.32
Netherlands (Kingdom of the),2022,10.1,False,8.71
New Zealand,2005,8.3,True,7.34
New Zealand,2010,9.6,True,8.16
New Zealand,2015,9.3,True,8.41
New Zealand,2020,10.1,True,9.4
New Zealand,2021,10.0,True,9.32
New Zealand,2022,10.0,True,8.71
Nicaragua,2005,6.2,False,7.34
Nicaragua,2010,7.7,False,8.16
Nicaragua,2015,8.0,False,8.41
Nicaragua,2020,8.6,False,9.4
Nicaragua,2021,9.6,False,9.32
Nicaragua,2022,9.0,False,8.71
Niger,2005,5.7,False,7.34
Niger,2010,5.0,False,8.16
Niger,2015,5.3,False,8.41
Niger,2020,6.2,False,9.4
Niger,2021,5.8,False,9.32
