T11,Expenditure on health,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
678,Sao Tome and Principe,2015,Current health expenditure (% of GDP),6.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
678,Sao Tome and Principe,2020,Current health expenditure (% of GDP),7.3,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
678,Sao Tome and Principe,2021,Current health expenditure (% of GDP),7.9,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
678,Sao Tome and Principe,2022,Current health expenditure (% of GDP),7.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
678,Sao Tome and Principe,2005,Domestic general government health expenditure (% of total government expenditure),11.4,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
678,Sao Tome and Principe,2010,Domestic general government health expenditure (% of total government expenditure),4.1,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
678,Sao Tome and Principe,2015,Domestic general government health expenditure (% of total government expenditure),4.9,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
678,Sao Tome and Principe,2020,Domestic general government health expenditure (% of total government expenditure),12.8,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
678,Sao Tome and Principe,2021,Domestic general government health expenditure (% of total government expenditure),13.1,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
678,Sao Tome and Principe,2022,Domestic general government health expenditure (% of total government expenditure),14.9,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
682,Saudi Arabia,2005,Current health expenditure (% of GDP),3.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
682,Saudi Arabia,2010,Current health expenditure (% of GDP),3.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
682,Saudi Arabia,2015,Current health expenditure (% of GDP),5.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
682,Saudi Arabia,2020,Current health expenditure (% of GDP),6.6,Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
682,Saudi Arabia,2021,Current health expenditure (% of GDP),5.9,Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
682,Saudi Arabia,2022,Current health expenditure (% of GDP),4.6,Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
682,Saudi Arabia,2005,Domestic general government health expenditure (% of total government expenditure),8.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
682,Saudi Arabia,2010,Domestic general government health expenditure (% of total government expenditure),6.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
682,Saudi Arabia,2015,Domestic general government health expenditure (% of total government expenditure),10.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
682,Saudi Arabia,2020,Domestic general government health expenditure (% of total government expenditure),13.3,Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
682,Saudi Arabia,2021,Domestic general government health expenditure (% of total government expenditure),14.4,Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
682,Saudi Arabia,2022,Domestic general government health expenditure (% of total government expenditure),12.8,Data are based on SHA2011.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
686,Senegal,2005,Current health expenditure (% of GDP),3.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
686,Senegal,2010,Current health expenditure (% of GDP),4.0,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
686,Senegal,2015,Current health expenditure (% of GDP),4.4,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
686,Senegal,2020,Current health expenditure (% of GDP),5.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
686,Senegal,2021,Current health expenditure (% of GDP),4.4,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
686,Senegal,2022,Current health expenditure (% of GDP),4.1,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
686,Senegal,2005,Domestic general government health expenditure (% of total government expenditure),8.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
686,Senegal,2010,Domestic general government health expenditure (% of total government expenditure),5.4,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
686,Senegal,2015,Domestic general government health expenditure (% of total government expenditure),4.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
686,Senegal,2020,Domestic general government health expenditure (% of total government expenditure),6.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
686,Senegal,2021,Domestic general government health expenditure (% of total government expenditure),4.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
686,Senegal,2022,Domestic general government health expenditure (% of total government expenditure),3.4,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
688,Serbia,2005,Current health expenditure (% of GDP),8.3,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
688,Serbia,2010,Current health expenditure (% of GDP),9.5,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
688,Serbia,2015,Current health expenditure (% of GDP),8.8,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
688,Serbia,2020,Current health expenditure (% of GDP),8.7,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
688,Serbia,2021,Current health expenditure (% of GDP),10.0,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
688,Serbia,2022,Current health expenditure (% of GDP),9.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
688,Serbia,2005,Domestic general government health expenditure (% of total government expenditure),13.6,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
688,Serbia,2010,Domestic general government health expenditure (% of total government expenditure),13.6,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
688,Serbia,2015,Domestic general government health expenditure (% of total government expenditure),11.9,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
688,Serbia,2020,Domestic general government health expenditure (% of total government expenditure),11.0,Data revision.;Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
688,Serbia,2021,Domestic general government health expenditure (% of total government expenditure),13.4,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
688,Serbia,2022,Domestic general government health expenditure (% of total government expenditure),13.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
690,Seychelles,2005,Current health expenditure (% of GDP),5.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
690,Seychelles,2010,Current health expenditure (% of GDP),5.4,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
690,Seychelles,2015,Current health expenditure (% of GDP),4.3,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
690,Seychelles,2020,Current health expenditure (% of GDP),6.0,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
690,Seychelles,2021,Current health expenditure (% of GDP),5.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
690,Seychelles,2022,Current health expenditure (% of GDP),4.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
690,Seychelles,2005,Domestic general government health expenditure (% of total government expenditure),9.3,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
690,Seychelles,2010,Domestic general government health expenditure (% of total government expenditure),9.0,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
690,Seychelles,2015,Domestic general government health expenditure (% of total government expenditure),10.0,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
690,Seychelles,2020,Domestic general government health expenditure (% of total government expenditure),10.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
690,Seychelles,2021,Domestic general government health expenditure (% of total government expenditure),10.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
690,Seychelles,2022,Domestic general government health expenditure (% of total government expenditure),10.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
694,Sierra Leone,2005,Current health expenditure (% of GDP),9.0,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
694,Sierra Leone,2010,Current health expenditure (% of GDP),9.1,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
694,Sierra Leone,2015,Current health expenditure (% of GDP),19.7,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
694,Sierra Leone,2020,Current health expenditure (% of GDP),9.3,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
694,Sierra Leone,2021,Current health expenditure (% of GDP),8.6,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
694,Sierra Leone,2022,Current health expenditure (% of GDP),7.9,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
694,Sierra Leone,2005,Domestic general government health expenditure (% of total government expenditure),5.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
694,Sierra Leone,2010,Domestic general government health expenditure (% of total government expenditure),6.5,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
694,Sierra Leone,2015,Domestic general government health expenditure (% of total government expenditure),6.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
694,Sierra Leone,2020,Domestic general government health expenditure (% of total government expenditure),5.3,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
694,Sierra Leone,2021,Domestic general government health expenditure (% of total government expenditure),6.9,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
694,Sierra Leone,2022,Domestic general government health expenditure (% of total government expenditure),5.2,Data based on calendar year (January 1 to December 31).,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
702,Singapore,2005,Current health expenditure (% of GDP),3.0,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
702,Singapore,2010,Current health expenditure (% of GDP),3.2,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
702,Singapore,2015,Current health expenditure (% of GDP),4.2,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
702,Singapore,2020,Current health expenditure (% of GDP),5.6,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
702,Singapore,2021,Current health expenditure (% of GDP),5.2,Data revision.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
702,Singapore,2022,Current health expenditure (% of GDP),4.9,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
702,Singapore,2005,Domestic general government health expenditure (% of total government expenditure),7.9,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
702,Singapore,2010,Domestic general government health expenditure (% of total government expenditure),10.9,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
702,Singapore,2015,Domestic general government health expenditure (% of total government expenditure),13.5,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
702,Singapore,2020,Domestic general government health expenditure (% of total government expenditure),13.9,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
702,Singapore,2021,Domestic general government health expenditure (% of total government expenditure),19.1,Data revision.;Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
702,Singapore,2022,Domestic general government health expenditure (% of total government expenditure),18.1,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
703,Slovakia,2005,Current health expenditure (% of GDP),6.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
703,Slovakia,2010,Current health expenditure (% of GDP),7.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
703,Slovakia,2015,Current health expenditure (% of GDP),6.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
703,Slovakia,2020,Current health expenditure (% of GDP),7.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
703,Slovakia,2021,Current health expenditure (% of GDP),7.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
703,Slovakia,2022,Current health expenditure (% of GDP),7.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
703,Slovakia,2005,Domestic general government health expenditure (% of total government expenditure),12.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
703,Slovakia,2010,Domestic general government health expenditure (% of total government expenditure),12.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
703,Slovakia,2015,Domestic general government health expenditure (% of total government expenditure),11.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
703,Slovakia,2020,Domestic general government health expenditure (% of total government expenditure),12.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
703,Slovakia,2021,Domestic general government health expenditure (% of total government expenditure),13.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
703,Slovakia,2022,Domestic general government health expenditure (% of total government expenditure),14.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
705,Slovenia,2005,Current health expenditure (% of GDP),8.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
705,Slovenia,2010,Current health expenditure (% of GDP),8.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
705,Slovenia,2015,Current health expenditure (% of GDP),8.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
705,Slovenia,2020,Current health expenditure (% of GDP),9.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
705,Slovenia,2021,Current health expenditure (% of GDP),9.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
705,Slovenia,2022,Current health expenditure (% of GDP),9.6,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
705,Slovenia,2005,Domestic general government health expenditure (% of total government expenditure),12.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
705,Slovenia,2010,Domestic general government health expenditure (% of total government expenditure),12.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
705,Slovenia,2015,Domestic general government health expenditure (% of total government expenditure),12.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
705,Slovenia,2020,Domestic general government health expenditure (% of total government expenditure),13.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
705,Slovenia,2021,Domestic general government health expenditure (% of total government expenditure),14.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
705,Slovenia,2022,Domestic general government health expenditure (% of total government expenditure),15.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
90,Solomon Islands,2005,Current health expenditure (% of GDP),9.0,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
90,Solomon Islands,2010,Current health expenditure (% of GDP),4.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
90,Solomon Islands,2015,Current health expenditure (% of GDP),4.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
90,Solomon Islands,2020,Current health expenditure (% of GDP),4.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
90,Solomon Islands,2021,Current health expenditure (% of GDP),4.9,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
90,Solomon Islands,2022,Current health expenditure (% of GDP),4.8,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
90,Solomon Islands,2005,Domestic general government health expenditure (% of total government expenditure),23.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
90,Solomon Islands,2010,Domestic general government health expenditure (% of total government expenditure),7.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
90,Solomon Islands,2015,Domestic general government health expenditure (% of total government expenditure),8.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
90,Solomon Islands,2020,Domestic general government health expenditure (% of total government expenditure),10.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
90,Solomon Islands,2021,Domestic general government health expenditure (% of total government expenditure),10.5,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
90,Solomon Islands,2022,Domestic general government health expenditure (% of total government expenditure),9.7,Data revision.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
706,Somalia,2015,Current health expenditure (% of GDP),2.8,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
706,Somalia,2020,Current health expenditure (% of GDP),2.2,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
706,Somalia,2021,Current health expenditure (% of GDP),2.6,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
706,Somalia,2022,Current health expenditure (% of GDP),2.6,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
706,Somalia,2015,Domestic general government health expenditure (% of total government expenditure),5.0,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
706,Somalia,2020,Domestic general government health expenditure (% of total government expenditure),2.9,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
706,Somalia,2021,Domestic general government health expenditure (% of total government expenditure),5.7,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
706,Somalia,2022,Domestic general government health expenditure (% of total government expenditure),2.5,Data revision.;Data based on calendar year (January 1 to December 31).;Estimates should be viewed with caution as these are derived from scarce data.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
710,South Africa,2005,Current health expenditure (% of GDP),6.9,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
710,South Africa,2010,Current health expenditure (% of GDP),7.8,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
710,South Africa,2015,Current health expenditure (% of GDP),8.1,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
710,South Africa,2020,Current health expenditure (% of GDP),9.0,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
710,South Africa,2021,Current health expenditure (% of GDP),8.7,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
710,South Africa,2022,Current health expenditure (% of GDP),8.8,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
710,South Africa,2005,Domestic general government health expenditure (% of total government expenditure),10.9,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
710,South Africa,2010,Domestic general government health expenditure (% of total government expenditure),14.1,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
710,South Africa,2015,Domestic general government health expenditure (% of total government expenditure),15.2,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
710,South Africa,2020,Domestic general government health expenditure (% of total government expenditure),16.9,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
710,South Africa,2021,Domestic general government health expenditure (% of total government expenditure),16.9,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
710,South Africa,2022,Domestic general government health expenditure (% of total government expenditure),16.9,Data refer to fiscal years beginning 1 April.,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
728,South Sudan,2020,Current health expenditure (% of GDP),9.3,"The country did not exist before 2012 (independence from Sudan on July 9, 2011, which corresponds to fiscal year 2011/12, converted in 2012).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
728,South Sudan,2021,Current health expenditure (% of GDP),6.3,"The country did not exist before 2012 (independence from Sudan on July 9, 2011, which corresponds to fiscal year 2011/12, converted in 2012).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
728,South Sudan,2022,Current health expenditure (% of GDP),6.8,"The country did not exist before 2012 (independence from Sudan on July 9, 2011, which corresponds to fiscal year 2011/12, converted in 2012).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
728,South Sudan,2020,Domestic general government health expenditure (% of total government expenditure),2.1,"The country did not exist before 2012 (independence from Sudan on July 9, 2011, which corresponds to fiscal year 2011/12, converted in 2012).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
728,South Sudan,2021,Domestic general government health expenditure (% of total government expenditure),2.1,"The country did not exist before 2012 (independence from Sudan on July 9, 2011, which corresponds to fiscal year 2011/12, converted in 2012).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
728,South Sudan,2022,Domestic general government health expenditure (% of total government expenditure),2.1,"The country did not exist before 2012 (independence from Sudan on July 9, 2011, which corresponds to fiscal year 2011/12, converted in 2012).","World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
724,Spain,2005,Current health expenditure (% of GDP),7.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
724,Spain,2010,Current health expenditure (% of GDP),9.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
724,Spain,2015,Current health expenditure (% of GDP),9.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
724,Spain,2020,Current health expenditure (% of GDP),10.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
724,Spain,2021,Current health expenditure (% of GDP),10.3,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
724,Spain,2022,Current health expenditure (% of GDP),9.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
724,Spain,2005,Domestic general government health expenditure (% of total government expenditure),14.4,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
724,Spain,2010,Domestic general government health expenditure (% of total government expenditure),14.7,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
724,Spain,2015,Domestic general government health expenditure (% of total government expenditure),14.8,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
724,Spain,2020,Domestic general government health expenditure (% of total government expenditure),15.1,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
724,Spain,2021,Domestic general government health expenditure (% of total government expenditure),15.2,,"World Health Organization (WHO), Geneva, WHO Global Health Expenditure database, last accessed May 2025."
